0.44 / 71.34
11.38 + 11.23
52.93 + 28.94
52.71 * 45.86
44.26 * 23.71
86.5 + 61.25
97.98 + 64.63
1.1 + 70.8
10.96 / 34.67
61.93 / 64.1
80.7 * 60.92
59.23 - 51.23
42.05 / 5.49
72.37 / 27.83
76.92 - 65.13
69.47 + 15.3
14.4 - 84.07
98.38 * 88.5
40.16 + 77.55
77.71 / 59.41
72.33 + 86.76
50.99 / 60.83
47.23 + 63.39
68.05 - 37.39
87.47 * 83.8
79.49 / 83.5
31.85 / 8.57
31.7 * 1.68
99.65 - 17.47
63.67 * 34.59
79.81 + 55.38
4.33 / 81.41
4.3 - 57.55
91.3 * 19.11
49.14 - 80.96
85.72 + 39.74
16.54 - 95.62
51.38 + 50.23
40.16 * 61.95
9.45 - 43.74
97.38 + 56.09
93.79 + 77.44
89.65 / 27.49
62.71 - 93.88
15.36 / 1.77
69.68 + 30.25
63.83 / 71.2
62.59 / 56.11
41.06 * 2.02
93.88 + 43.66
49.2 - 91.68
28.08 / 51.73
67.19 * 7.06
42.93 / 83.71
32.2 - 52.87
97.85 - 56.43
1.73 * 31.02
50.98 - 53.28
44.29 * 30.45
15.46 / 4.79
18.56 / 75.98
40.47 * 73.02
63.22 * 90.84
34.8 - 6.83
37.0 + 89.48
72.06 - 41.42
68.21 * 23.47
85.2 + 70.17
79.68 - 1.61
10.89 * 80.05
34.3 / 24.02
87.95 - 70.27
44.84 + 75.35
52.73 * 56.35
72.83 - 72.32
40.16 - 67.36
86.54 / 1.2
28.33 + 98.56
92.87 + 25.34
85.07 * 34.08
97.74 / 88.22
50.23 - 19.16
55.54 * 53.33
37.65 / 14.15
55.41 + 61.51
53.43 / 99.58
20.21 * 87.18
99.27 / 60.48
45.79 / 42.33
55.01 * 93.32
66.83 + 39.52
84.57 + 40.26
1.36 / 50.19
71.78 + 57.72
60.32 / 7.49
43.97 / 56.42
73.74 / 45.19
45.65 + 20.71
13.45 - 25.05
65.47 + 75.65
51.52 - 31.52
93.04 * 6.43
84.22 + 99.56
41.23 * 76.04
44.8 * 9.11
99.66 * 39.04
42.17 + 70.35
48.64 - 11.43
98.81 / 56.58
76.65 - 82.99
30.01 * 78.64
62.35 * 45.05
53.97 - 93.83
49.46 - 85.95
40.58 / 56.58
15.26 / 99.57
19.05 + 80.84
58.51 + 9.08
36.65 + 40.65
9.23 * 3.73
49.33 / 14.14
8.0 * 77.3
48.04 + 18.33
45.68 / 94.83
9.71 * 61.78
65.72 + 97.37
17.38 * 10.71
99.41 / 1.19
93.19 / 86.22
79.82 - 10.5
24.42 + 6.1
34.07 / 73.27
47.14 + 25.56
53.33 - 17.95
2.19 - 50.17
53.34 + 91.69
33.56 / 88.95
38.65 * 53.66
89.55 - 21.62
19.58 * 75.47
93.72 * 10.12
21.49 * 21.14
56.16 / 93.11
56.69 - 81.17
43.07 - 56.47
64.42 / 17.62
27.99 / 75.46
61.93 / 40.61
72.87 / 78.93
79.18 / 71.03
94.64 - 26.94
36.44 - 73.23
76.77 - 22.59
73.01 + 42.03
11.99 / 90.64
70.45 * 39.26
15.37 * 2.81
57.32 * 14.71
0.52 * 55.76
86.21 * 1.07
54.91 - 9.76
0.87 - 61.2
98.68 / 25.35
86.98 - 55.26
60.67 - 38.0
99.36 / 60.76
99.97 - 76.8
76.26 * 76.7
50.97 / 13.37
77.44 * 70.06
77.34 - 0.77
44.47 / 0.61
53.08 / 37.11
64.61 - 54.19
1.97 + 87.84
90.92 / 18.6
38.83 - 47.12
27.44 / 81.23
90.97 + 4.15
54.68 * 94.63
48.42 - 69.71
26.85 - 52.9
62.26 + 77.43
78.62 * 57.45
56.09 + 43.87
33.49 + 29.25
84.38 * 48.07
58.8 + 7.44
17.61 + 74.89
44.06 / 84.5
52.98 / 76.01
26.41 * 68.64
68.34 + 70.6
59.39 / 39.36
8.4 + 45.79
89.35 / 92.91
71.18 / 85.93
13.1 - 78.52
22.78 + 75.39
39.85 / 89.28
11.41 / 19.33
88.81 / 35.91
5.93 / 6.41
41.97 - 18.58
94.2 / 90.09
11.79 + 18.01
71.66 / 83.36
63.62 / 97.2
54.19 * 50.73
50.25 + 73.24
57.06 - 19.43
25.1 * 37.77
75.56 + 39.75
72.53 + 0.63
70.64 + 12.4
63.01 - 6.02
4.48 - 25.89
22.41 + 73.88
97.25 / 0.13
89.53 / 44.14
82.95 / 70.88
85.73 / 18.83
50.06 + 15.67
15.85 - 86.2
90.61 * 72.74
67.36 - 94.39
23.9 - 84.19
13.38 + 59.53
37.51 * 11.37
51.37 - 32.8
88.1 + 2.77
3.45 + 29.44
20.75 * 56.89
36.91 + 30.22
70.34 / 30.3
82.7 + 0.1
82.42 + 58.13
54.86 - 48.18
50.73 * 2.0
47.16 + 1.55
24.79 / 37.56
90.76 - 57.96
76.79 / 18.69
66.23 / 30.27
71.91 / 17.33
3.34 - 59.04
46.33 / 35.83
74.36 - 26.36
67.1 - 31.98
64.85 / 86.01
69.03 - 32.83
78.09 + 85.3
37.2 - 81.29
25.21 - 69.29
67.84 * 41.98
3.47 / 11.86
15.51 + 24.76
87.19 / 17.88
79.31 + 58.92
51.59 / 14.61
12.05 * 41.34
1.42 * 89.75
8.18 * 50.49
18.65 - 69.43
91.88 + 69.96
11.8 / 19.36
66.43 / 44.07
82.93 / 60.73
9.55 * 39.33
7.51 / 36.53
44.86 - 15.35
5.13 / 58.85
73.33 / 29.95
79.48 * 69.31
60.83 / 85.69
41.26 * 43.51
15.51 / 72.58
81.95 - 97.97
40.89 / 59.54
70.22 - 69.0
94.48 * 93.21
89.71 - 87.59
63.74 - 45.16
64.36 + 62.3
49.71 + 84.72
40.3 - 60.36
18.01 / 43.27
14.25 + 32.91
98.43 + 35.42
4.75 + 47.87
81.02 - 78.64
59.13 * 66.26
57.68 - 29.62
18.89 / 57.09
24.28 / 48.03
20.81 - 82.2
97.3 + 86.5
87.32 + 24.08
9.49 / 29.72
93.97 / 16.59
61.9 - 29.21
71.62 / 42.7
9.49 / 55.98
37.43 * 41.75
72.77 + 33.17
19.31 + 53.57
45.72 - 25.17
2.31 / 48.94
34.89 - 58.72
79.11 / 31.69
74.28 * 55.51
56.88 * 15.36
52.83 * 17.67
15.57 * 69.32
95.19 * 66.83
61.77 - 34.19
16.33 / 40.04
42.09 - 64.9
3.31 / 33.93
23.51 * 87.67
62.38 + 54.14
18.94 * 8.75
45.25 / 32.47
61.68 * 79.63
73.74 - 88.52
89.94 / 19.6
46.79 / 52.81
23.0 - 17.86
57.26 - 24.02
49.63 / 42.75
91.45 + 82.09
61.75 + 45.82
28.08 * 59.79
53.24 * 6.76
25.55 - 88.32
38.77 * 22.69
67.48 / 25.46
53.82 / 42.33
72.06 * 94.94
38.74 + 16.61
55.31 * 43.72
57.59 + 61.14
85.9 / 56.1
1.74 * 6.28
30.39 + 6.21
92.14 + 25.63
77.15 + 78.44
72.5 * 47.07
93.5 + 97.42
12.61 * 91.09
19.56 / 16.09
63.9 * 43.44
86.84 - 87.73
15.97 + 83.91
21.85 / 89.58
24.85 - 17.18
48.91 + 19.23
44.6 + 95.22
9.43 * 48.59
10.98 - 40.84
92.31 / 96.47
81.34 / 33.24
74.22 / 98.79
14.22 / 14.65
67.53 / 51.12
6.91 / 35.35
84.35 - 30.7
23.19 / 97.42
78.02 + 14.99
64.8 - 46.54
38.98 / 29.86
65.13 * 29.36
5.68 - 74.05
65.41 * 47.99
21.15 * 63.03
46.89 + 48.11
51.15 + 41.0
32.96 - 26.48
43.74 / 87.05
55.31 / 75.96
42.37 / 49.58
43.45 + 90.88
1.19 - 80.63
87.66 * 36.17
8.36 + 13.03
40.64 / 15.22
6.31 * 79.99
80.07 * 77.38
64.96 / 22.27
74.09 * 45.53
64.59 * 60.97
85.37 * 15.92
72.23 / 89.32
59.01 - 36.59
82.27 * 41.1
96.38 * 81.08
57.64 * 39.64
3.91 - 4.74
3.87 - 23.2
33.31 * 39.68
36.65 * 46.47
88.14 * 42.63
49.08 / 41.34
38.99 + 86.64
11.62 * 96.11
92.07 * 68.36
17.55 / 82.44
66.44 + 45.57
29.69 - 29.7
57.53 / 21.04
97.22 - 13.51
30.04 - 20.57
22.71 / 5.03
7.4 * 84.47
33.02 * 48.61
13.7 + 20.87
39.44 * 5.51
7.53 + 67.62
74.6 + 35.05
15.42 * 65.92
33.87 - 71.0
24.05 + 67.87
89.78 * 76.1
95.65 - 49.87
80.34 - 80.66
77.04 - 56.76
20.1 - 64.3
93.48 / 80.65
96.36 / 66.56
4.6 / 34.14
20.03 + 74.28
24.12 - 14.24
50.58 - 25.64
46.43 / 97.1
94.34 + 64.27
35.98 * 81.02
48.15 * 57.55
71.27 + 10.22
31.1 - 46.79
56.51 * 62.07
69.79 * 87.36
63.39 * 83.33
12.86 * 32.64
88.92 * 97.16
57.42 * 32.05
2.57 / 49.04
2.86 + 18.03
65.07 * 97.99
65.78 + 77.05
55.84 + 77.35
39.07 - 20.72
10.72 + 10.61
76.79 / 85.44
35.65 * 47.74
27.61 + 67.43
22.31 - 15.28
72.03 + 72.79
35.52 * 37.63
18.1 / 66.25
79.1 - 2.36
20.66 + 12.64
87.13 * 95.88
98.63 * 92.98
19.83 / 6.37
49.9 * 5.39
37.47 + 34.79
33.25 - 93.61
34.42 + 59.45
47.05 / 29.19
23.13 * 59.43
16.29 * 54.2
16.06 * 82.92
33.16 * 76.63
39.0 * 48.65
39.95 * 48.41
73.97 - 71.71
11.67 - 75.3
82.43 + 2.66
7.92 + 5.53
79.14 - 25.58
87.52 * 38.25
16.88 * 7.19
65.28 - 57.41
58.68 + 49.24
52.91 + 97.06
55.63 * 34.58
16.27 / 29.67
51.07 / 93.91
8.92 * 96.8
66.2 * 17.31
61.81 - 85.84
48.67 + 90.56
81.87 / 92.23
13.09 * 97.81
42.9 * 23.16
31.73 - 99.92
58.6 / 17.8
74.95 * 93.85
19.24 / 16.31
92.43 / 26.51
46.66 * 54.03
57.35 * 69.99
32.6 * 40.09
6.76 * 93.42
1.13 - 97.15
1.07 - 63.75
5.6 / 16.43
28.1 - 57.55
20.82 / 85.88
22.76 + 99.71
79.88 + 55.53
83.14 / 18.19
11.07 + 32.29
93.8 + 42.59
37.68 / 1.99
74.63 * 27.7
2.49 + 91.49
48.91 + 89.7
90.4 - 27.43
81.04 - 50.48
67.1 + 12.7
87.32 - 7.53
68.72 - 34.2
21.86 / 58.33
59.16 * 61.91
81.13 * 93.18
43.89 - 65.37
23.9 / 87.65
54.97 - 27.77
70.37 / 7.42
83.31 + 73.1
69.94 - 16.66
29.99 - 3.08
82.46 - 14.54
24.35 * 77.1
9.77 * 74.34
67.05 * 9.29
53.97 - 55.38
40.76 - 64.58
78.34 * 8.96
23.77 - 59.32
42.42 + 56.85
74.32 + 41.02
92.05 / 47.33
79.71 - 83.41
80.09 / 71.16
15.56 / 2.76
29.06 * 21.62
